name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
מצפור יפתח,33.1305,35.5559,north,צפון / גליל עליון ואצבע הגליל,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
הר הכרמל,32.72852,35.05411,north,צפון / כרמל ורמות מנשה,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
גבעת המורה,32.6177,35.3489,north,צפון / גליל תחתון עמקים וגלבוע,viewpoints,נקודת עניין / טיול,נקודת תצפית / אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין חרוד,32.5553,35.3897,north,צפון / גליל תחתון עמקים וגלבוע,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין דור,32.642525,35.391611,north,צפון / גליל תחתון עמקים וגלבוע,water,מעיין / מקור מים,נקודת ייחוס,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפור הר ברקן,32.5102,35.4083,north,צפון / גליל תחתון עמקים וגלבוע,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור הר תבור,32.7066,35.3686,north,צפון / גליל תחתון עמקים וגלבוע,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
תל יזרעאל,32.5578,35.3281,north,צפון / גליל תחתון עמקים וגלבוע,archaeology,אתר מורשת / ארכיאולוגיה,תל ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל מגידו,32.58527401,35.18436781,north,צפון / גליל תחתון עמקים וגלבוע,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל חנתון,32.7859178,35.2562847,north,צפון / גליל תחתון עמקים וגלבוע,archaeology,אתר מורשת / ארכיאולוגיה,תל ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל בית ירח,32.71703,35.571261,north,צפון / גליל תחתון עמקים וגלבוע,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל עמל,32.50413196,35.45655814,north,צפון / גליל תחתון עמקים וגלבוע,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפור חוף השרון,32.2187,34.8161,center,מרכז / השרון ומישור החוף,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור תל מיכל,32.160787,34.797131,center,מרכז / השרון ומישור החוף,viewpoints,תצפית / פסגה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.kkl.org.il/travel/
תל קסילה,32.101404,34.795422,center,מרכז / השרון ומישור החוף,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל גזר,31.859872,34.919644,center,מרכז / השרון ומישור החוף,archaeology,אתר מורשת / ארכיאולוגיה,תל ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
חורבת בורגתה,32.318458,34.949516,center,מרכז / השרון ומישור החוף,archaeology,אתר מורשת / ארכיאולוגיה,אתר ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
פארק רעננה,32.1882,34.8505,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק כפר סבא,32.1846,34.9277,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק הרצליה,32.1745,34.8244,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק הוד השרון,32.147,34.9087,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק הירקון,32.1003,34.8114,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק אריאל שרון,32.028,34.8215,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק אקולוגי הוד השרון,32.1364,34.9205,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק אגם נתניה,32.2864,34.853,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק אגם ראשון לציון,31.9797,34.7714,center,מרכז / השרון ומישור החוף,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
נחל שורק,31.941373,34.707306,jerusalem,ירושלים / הרי יהודה והשפלה,water,נחל / מסלול,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל רפאים,31.758729,35.08799,jerusalem,ירושלים / הרי יהודה והשפלה,water,נחל / מסלול,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל כסלון,31.75977,34.990038,jerusalem,ירושלים / הרי יהודה והשפלה,water,נחל / מסלול,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל סנסן,31.681607,34.994096,jerusalem,ירושלים / הרי יהודה והשפלה,water,נחל / מסלול,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל זנוח,31.738547,35.004081,jerusalem,ירושלים / הרי יהודה והשפלה,water,נחל / מסלול,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין נקופה,31.809098,35.142931,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין חנדק,31.762368,35.139001,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין אל בלד,31.743927,35.146051,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין חובילה,31.6576,35.1022,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת מעיין,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין סעדים,31.75269,35.12617,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת מעיין,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין אשקף,31.756634,35.126874,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין אורה,31.7409583333,35.1469833333,jerusalem,ירושלים / הרי יהודה והשפלה,water,מעיין / מקור מים,נקודת מעיין,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר טייסים,31.773072,35.090605,jerusalem,ירושלים / הרי יהודה והשפלה,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר יעלה,31.7511,35.0425,jerusalem,ירושלים / הרי יהודה והשפלה,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר גיורא,31.744711,35.08257,jerusalem,ירושלים / הרי יהודה והשפלה,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר רפאים,31.735601,35.102341,jerusalem,ירושלים / הרי יהודה והשפלה,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר עמינדב,31.747391,35.139277,jerusalem,ירושלים / הרי יהודה והשפלה,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר תנופה,31.784233,34.969751,jerusalem,ירושלים / הרי יהודה והשפלה,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר שמשון,31.767052,35.03705,jerusalem,ירושלים / הרי יהודה והשפלה,viewpoints,תצפית / פסגה,פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר יערן,31.707424,35.039458,jerusalem,ירושלים / הרי יהודה והשפלה,viewpoints,תצפית / פסגה,פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפור הר טייסים,31.7721,35.0886,jerusalem,ירושלים / הרי יהודה והשפלה,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
חורבת סעדים,31.751953,35.129163,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
חורבת מדרס,31.65594,34.93747,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,אתר ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
חורבת בורגין,31.63607,34.96877,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,אתר ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
חורבת קיאפה,31.69643,34.95736,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,אתר ארכאולוגי,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מערת הנטיפים,31.756128,35.023152,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,מערה / אתר טבע,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מערת התאומים,31.726425,35.022234,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,מערה / אתר טבע,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מערת שמשון,31.764352,35.022712,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,מערה / אתר טבע,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מערת בני ברית,31.776829,35.03383,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,מערה / אתר טבע,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מערות בית גוברין,31.605326,34.903718,jerusalem,ירושלים / הרי יהודה והשפלה,nature,נקודת עניין / טיול,אתר/מערות,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל גודד,31.633864,34.90991,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל בית שמש,31.750796,34.974873,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל ירמות,31.707923,34.975151,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל צרעה,31.774602,34.985869,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל לכיש,31.565443,34.848845,jerusalem,ירושלים / הרי יהודה והשפלה,archaeology,אתר מורשת / ארכיאולוגיה,נקודת אתר ארכאולוגי / תל,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
תל צפית,31.702,34.8474,jerusalem,ירושלים / הרי יהודה והשפלה,viewpoints,אתר מורשת / ארכיאולוגיה,נקודת תצפית / אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עמק הארזים,31.800344,35.171345,jerusalem,ירושלים / הרי יהודה והשפלה,nature,נקודת עניין / טיול,נקודת ייחוס אזורית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
גן לאומי עין חמד,31.796716,35.123935,jerusalem,ירושלים / הרי יהודה והשפלה,parks,פארק / שמורה / יער,נקודת ישות גאוגרפית,גבוהה,https://www.tiuli.com/points-of-interest
גן לאומי הקסטל,31.7955,35.1448,jerusalem,ירושלים / הרי יהודה והשפלה,parks,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
גן לאומי בית גוברין,31.6128,34.8954,jerusalem,ירושלים / הרי יהודה והשפלה,parks,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
פארק העצמאות תל אביב,32.0887,34.7708,center,מרכז / גוש דן ואתרים עירוניים,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
פארק המסילה תל אביב,32.0592,34.7675,center,מרכז / גוש דן ואתרים עירוניים,nature,פארק / שמורה / יער,נקודת אתר / מרכז אתר,גבוהה,https://www.kkl.org.il/travel/
טיילת תל אביב,32.0781,34.7662,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת יפו,32.0524,34.7505,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת הרצליה,32.1695,34.8009,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת נתניה,32.3216,34.8505,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת בת ים,32.018,34.739,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת ראשון לציון,31.9805,34.7402,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת אשדוד,31.7957,34.6339,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
טיילת אשקלון,31.675,34.5545,center,מרכז / גוש דן ואתרים עירוניים,nature,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
נמל יפו,32.0522,34.7502,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
נמל תל אביב,32.0964,34.7734,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
נמל קיסריה,32.5008,34.8917,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
נמל עכו,32.9182,35.068,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
מתחם התחנה תל אביב,32.0566,34.7614,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
מתחם התחנה ירושלים,31.7685,35.2242,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
שרונה תל אביב,32.0715,34.788,center,מרכז / גוש דן ואתרים עירוניים,nature,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
יפו העתיקה,32.0543,34.7522,center,מרכז / גוש דן ואתרים עירוניים,archaeology,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עכו העתיקה,32.9213,35.0685,center,מרכז / גוש דן ואתרים עירוניים,archaeology,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
קיסריה העתיקה,32.5005,34.8922,center,מרכז / גוש דן ואתרים עירוניים,archaeology,נקודת עניין / טיול,נקודת אתר / מרכז אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
בריכת הקשתות רמלה,31.9304,34.8733,center,מרכז / גוש דן ואתרים עירוניים,water,מעיין / מקור מים,נקודת אתר / מרכז אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל ערוגות,31.455,35.385,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,water,נחל / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל דוד,31.47,35.39,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,water,נחל / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין פשחה,31.72,35.455,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין שולמית,31.468,35.392,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין עוג'ה,31.955,35.445,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין חגלה,31.83,35.51,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר קנאים,31.2993,35.2968,deadsea,מדבר יהודה / ים המלח ובקעת הירדן,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין עבדת,30.83,34.77,south,נגב / באר שבע והר הנגב,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין מור,30.81,34.785,south,נגב / באר שבע והר הנגב,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר רמון,30.499856,34.630766,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר ארדון,30.6408,34.9503,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר קטום,30.5763,34.8951,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר עידו,30.5048,34.6853,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר צרור,30.8603,34.8212,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפור ליפא גל,30.8223,34.7413,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור חגי,30.887672,34.791927,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / אתר,גבוהה,https://www.kkl.org.il/travel/
מצפור המכתש הקטן,30.9398,35.1631,south,נגב / באר שבע והר הנגב,viewpoints,תצפית / פסגה,נקודת תצפית / אתר,גבוהה,https://www.kkl.org.il/travel/
באר רבובה,31.256611,34.488218,south,נגב / באר שבע והר הנגב,nature,באר / בור מים,באר/אתר,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר שלמה,29.5801,34.8997,south,ערבה / הרי אילת,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר נשף,29.6659,34.866,south,ערבה / הרי אילת,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר צניפים,30.1286,34.8604,south,ערבה / הרי אילת,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין עברונה,29.66,35.02,south,ערבה / הרי אילת,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין יהב,30.65,35.21,south,ערבה / הרי אילת,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפור הר ברך,29.79242,34.91584,south,ערבה / הרי אילת,viewpoints,תצפית / פסגה,נקודת תצפית / אתר,גבוהה,https://www.kkl.org.il/travel/
מצפור דרך השלום,30.7788,35.2935,south,ערבה / הרי אילת,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
חוף האלמוגים,29.5072,34.9203,south,ערבה / הרי אילת,water,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
חוף הנסיכה,29.4957,34.9161,south,ערבה / הרי אילת,water,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
חוף המגדלור,29.505,34.9178,south,ערבה / הרי אילת,water,חוף / טיילת,נקודת אתר / מרכז אתר,גבוהה,https://www.tiuli.com/points-of-interest
