name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
עין קלט,31.84,35.41,jerusalem,ירושלים ומדבר יהודה,water,מעיין / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%94%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A4%D7%A8%D7%AA-%D7%95%D7%90%D7%93%D7%99-%D7%A7%D7%9C%D7%98/
יער להב,31.3758333,34.8527778,south,נגב,nature,יער / מסלול,מרכז אתר / יער,גבוהה,https://www.kkl.org.il/travel/trips/lahav_forest/
מצפור הר אבנון,30.9715,34.9825,south,נגב,viewpoints,תצפית / מסלול קצר,נקודת תצפית / פסגה,גבוהה,https://www.parks.org.il/trip/page/2/
גן לאומי ממשית,31.0240184,35.0648415,south,נגב,parks,גן לאומי / מסלול,נקודת אתר,גבוהה,https://www.parks.org.il/trip/page/2/
עין תינה,33.235,35.65,north,צפון / גולן,water,מסלול מים,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/trip/page/2/
שמורת טבע עין אפק,32.8456606,35.1124623,north,צפון / עמק עכו,reserves,שמורת טבע / מסלול,נקודת אתר,גבוהה,https://www.parks.org.il/trip/page/2/
שמורת טבע חוף האלמוגים,29.5072117,34.9202831,south,ערבה / אילת,reserves,שמורת טבע / חוף,נקודת אתר,גבוהה,https://www.parks.org.il/trip/page/2/
גן לאומי גן השלושה,32.4833,35.4167,north,צפון / עמק המעיינות,parks,גן לאומי / מים,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/trip/page/2/
גן לאומי קיסריה,32.498858,34.898751,north,צפון / חוף הכרמל,parks,גן לאומי / מסלול,נקודת אתר,גבוהה,https://www.parks.org.il/trip/page/2/
מצפה כנרת מנדל,32.7,35.6462,north,צפון / גולן,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/trips/accessible_hiking_trails/accessible_hiking_trails_north/mitzpe_kinneret_mandel/
מצפה בניה בהרי נפתלי,33.2479,35.5515,north,צפון / גליל עליון,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/trips/2934/
עין נון,32.868,35.553,north,צפון / כנרת,water,מעיין,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין מודע,32.49,35.405,north,צפון / עמק המעיינות,water,מעיין,נקודת אתר / מקור מים,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
