name,search_query,region,region_raw,category,type_raw,source
עזקה: עיר מבצר בגבול יהודה,עזקה: עיר מבצר בגבול יהודה,center,מרכז / ירושלים והשפלה,heritage,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
עין נקופה ויער הסתדרות המורים,עין נקופה ויער הסתדרות המורים,center,מרכז / ירושלים והשפלה,water,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק לקויי ראייה ביער בן שמן,פארק לקויי ראייה ביער בן שמן,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק עדולם-צרפת,פארק עדולם-צרפת,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק שלולית החורף בנתניה,פארק שלולית החורף בנתניה,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל האירוסים ביער אילנות,שביל האירוסים ביער אילנות,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל הארז ביער ירושלים,שביל הארז ביער ירושלים,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל הבעל בסטף,שביל הבעל בסטף,center,מרכז / ירושלים והשפלה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל הזהב ביער להב,שביל הזהב ביער להב,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל נוף נחל יתלה,שביל נוף נחל יתלה,center,מרכז / ירושלים והשפלה,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל שמשון ביער צרעה,שביל שמשון ביער צרעה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שלוחת שיירות מעל שער הגיא,שלוחת שיירות מעל שער הגיא,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
תל עדולם,תל עדולם,center,מרכז / ירושלים והשפלה,archaeology,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
אגם מים בפארק יצחק נבון ירוחם,אגם מים בפארק יצחק נבון ירוחם,south,דרום / נגב וערבה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
אנדרטת חץ שחור,אנדרטת חץ שחור,south,דרום / נגב וערבה,heritage,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_south/
